target,seed,index,tm_stochastic,tm_pfode,delta_tm
30JR,20251126,22,0.3970227743769213,0.33171827561049017,-0.06530449876643113
30JR,20251126,23,0.3673896404818522,0.3746291206085723,0.007239480126720099
30JR,20251126,24,0.33195318253086875,0.338764868539427,0.006811686008558249
30JR,20251126,25,0.34326385312890373,0.33988403708272064,-0.003379816046183093
30JR,20251126,26,0.34561222365920347,0.3568347238827606,0.011222500223557141
30JR,20251126,27,0.3525530915042594,0.29341784281183697,-0.059135248692422426
30JR,20251126,28,0.3568988208505527,0.3766036519000638,0.019704831049511096
30JR,20251126,29,0.3544993715629065,0.331610620308272,-0.02288875125463452
30JR,20251126,30,0.3260159449230103,0.36635909965540486,0.04034315473239458
30JR,20251126,31,0.39964821024645386,0.3702054782482013,-0.029442731998252536
30JR,20251126,32,0.3378172409858929,0.33796904510364156,0.0001518041177486773
30JR,20251126,33,0.2943476307914772,0.3456304221937352,0.051282791402258
30JR,20251126,34,0.352984550942238,0.37399901954855547,0.02101446860631745
30JR,20251126,35,0.39948471286251525,0.3352244455407466,-0.06426026732176865
30JR,20251126,36,0.32926354065146507,0.3642001965966799,0.034936655945214834
30JR,20251126,37,0.39688834925809613,0.30911101364929916,-0.08777733560879697
30JR,20251126,38,0.42278859884335157,0.31387822057221054,-0.10891037827114103
30JR,20251126,39,0.36138502729258454,0.2967504187428364,-0.06463460854974812
30JR,20251126,40,0.4711222420547535,0.37811982722849086,-0.09300241482626265
30JR,20251126,41,0.34980299983620333,0.3911070389105814,0.041304039074378074
30JR,20251126,42,0.40575847923765906,0.337448309629833,-0.06831016960782604
30JR,20251126,43,0.3527010691102287,0.34428237186263727,-0.008418697247591422
30JR,20251126,44,0.34896162290856864,0.3394414881654996,-0.009520134743069009
30JR,20251126,45,0.35934173091726046,0.3546921379394232,-0.004649592977837236
30JR,20251126,46,0.3402335913914344,0.35305172301752763,0.012818131626093243
30JR,20251126,47,0.3447875420136146,0.3230625370325654,-0.021725004981049234
30JR,20251126,48,0.4142891212301716,0.3400898248458757,-0.0741992963842959
30JR,20251126,49,0.3424889094960275,0.3479194742448719,0.005430564748844402
30JR,20251126,50,0.3432963084407075,0.3574536328626395,0.01415732442193196
30JR,20251126,51,0.3386752552261673,0.26640943109861903,-0.07226582412754828
30JR,20251126,52,0.3510296699755185,0.3750684380406582,0.024038768065139715
30JR,20251126,53,0.34191562804870307,0.3095167479761561,-0.03239888007254699
30JR,20251126,54,0.3675523029014178,0.304620994593921,-0.06293130830749682
30JR,20251126,55,0.3508188381926375,0.3576592175855833,0.0068403793929457946
30JR,20251126,56,0.37438335800845957,0.3235199627483127,-0.05086339526014688
30JR,20251126,57,0.3238878340931361,0.3083474478346667,-0.015540386258469374
30JR,20251126,58,0.3721415045379411,0.3546520716902945,-0.01748943284764659
30JR,20251126,59,0.4077492208407792,0.3390501329189839,-0.0686990879217953
30JR,20251126,60,0.29617562110260687,0.351573801686969,0.05539818058436213
30JR,20251126,61,0.3471986734182188,0.3292186091358383,-0.017980064282380526
